Course,Uni,RelatedSubject1,RelatedSubject2,RelatedSubject3,Test1,Test2
Mathematics,Cambridge,Mathematics,,,Sixth Term Examination Paper Mathematics (STEP),
PPE,Oxford,Philosophy,Politics,Economics,Thinking Skills Assessment (TSA),
HSPS,Cambridge,Politics,Sociology,Social Anthropology,"Human, Social, and Political Sciences Admissions Assessment (HSPSAA)",
Physics & Philosophy,Oxford,Physics,Philosophy,,Physics Aptitude Test (PAT),
Materials Science,Oxford,Materials Science,Physics,,Physics Aptitude Test (PAT),
English,Cambridge,English,,,English Literature Admissions Test (ELAT),
Computer Science,Oxford,Computer Science,Mathematics,,Mathematics Admissions Test (MAT),
Computer Science,Cambridge,Computer Science,Mathematics,,Computer Science Admissions Test (CSAT),
History,Oxford,History,,,History Aptitude Test (HAT),
Geography,Cambridge,Geography,,,Geography Admissions Assessment (GAA),
German and Beginners' Portuguese,Oxford,German,Portuguese,,Modern Languages Admissions Test (MLAT),
"Anglo-Saxon, Norse and Celtic",Cambridge,Anglo-Saxon,Norse,Celtic,"Anglo-Saxon, Norse and Celtic Admissions Assessment (ASNCAA)",
Classics,Oxford,Latin,Greek,Philosophy,Classics Admissions Test (CAT),
Natural Sciences,Cambridge,Physics,Biology,Chemistry,Natural Sciences Admissions Assessment (NSAA),
Experimental Psychology,Oxford,Psychology,,,Thinking Skills Assessment (TSA),
Geography,Oxford,Geography,,,,
Land Economy,Cambridge,Law,Economics,Geography,Thinking Skills Assessment (TSA),
