Subject,ResourceName,ResourceDescription,ResourceURL,Upvotes
Mathematics,The quick brown fox jumps,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor.",http://example.com/maths,0
Philosophy,over the lazy dog. The,Aenean massa.,http://example.com/phil,0
Politics,quick brown fox jumps over,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.Ê",http://example.com/pol,0
Economics,the lazy dog. The quick,"Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt.",http://example.com/econ,0
Sociology,brown fox jumps over the,Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna.,http://example.com/soc,0
Social Anthropology,lazy dog. The quick brown,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor.",http://example.com/soc_anth,0
Physics,fox jumps over the lazy,Aenean massa.,http://example.com/phys,0
Materials Science,dog. The quick brown fox,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.Ê",http://example.com/matsci,0
English,jumps over the lazy dog.,"Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt.",http://example.com/english,0
Computer Science,The quick brown fox jumps,Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna.,http://example.com/compsci,0
Geography,over the lazy dog. The,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor.",http://example.com/geog,0
German,quick brown fox jumps over,Aenean massa.,http://example.com/de,0
Portuguese,the lazy dog. The quick,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.Ê",http://example.com/po,0
Anglo-Saxon,brown fox jumps over the,"Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. Nam quam nunc, blandit vel, luctus pulvinar, hendrerit id, lorem. Maecenas nec odio et ante tincidunt tempus. Donec vitae sapien ut libero venenatis faucibus. Nullam quis ante. Etiam sit amet orci eget eros faucibus tincidunt.",http://example.com/as,0
Norse,lazy dog. The quick brown,Duis leo. Sed fringilla mauris sit amet nibh. Donec sodales sagittis magna.,http://example.com/norse,0
Celtic,fox jumps over the lazy,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor.",http://example.com/celtic,0
Latin,dog. The quick brown fox,Aenean massa.,http://example.com/latin,0
Greek,jumps over the lazy dog.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.Ê",http://example.com/greek,0
